Team,Year,Offensive Rating,Defensive Rating,Net Rating,Offensive Ranking,Defensive Ranking,League Average Offesive Rating,League Average Defensive Rating
Oklahoma City Thunder,2025,120.3,107.5,12.8,3,1,114.5,114.5
Boston Celtics,2024,123.2,111.6,11.6,1,3,115.3,115.3
Denver Nuggets,2023,117.6,114.2,3.4,5,15,114.8,114.8
Golden State Warriors,2022,112.5,106.9,5.6,17,1,112,112
Milwauke Bucks,2021,117.2,111.4,5.7,6,10,112.3,112.3
Los Angeles Lakers,2020,112,106.3,5.7,11,3,110.6,110.6
Toronto Raptors,2019,113.1,107.1,6,5,5,110.4,110.4
Golden State Warriors,2018,113.6,107.7,6,3,11,108.6,108.6
Golden State Warriors,2017,115.6,104,11.6,1,2,108.8,108.8
Cleveland Cavaliers,2016,110.9,104.5,6.4,3,10,106.4,106.4
Golden State Warriors,2015,111.6,101.4,10.2,2,1,105.6,105.6
San Antonio Spurs,2014,110.5,102.4,8.1,7,3,106.7,106.7
Miami Heat,2013,112.3,103.7,8.6,2,9,105.9,105.9
Miami Heat,2012,106.6,100.2,6.5,8,4,104.6,104.6
Dallas Mavericks,2011,109.7,105,4.6,8,8,107.3,107.3
Los Angeles Lakers,2010,108.8,103.7,5,11,4,107.6,107.6
Los Angeles Lakers,2009,112.8,104.7,8.1,3,6,108.3,108.3
Boston Celtics,2008,110.2,98.9,11.2,10,1,107.5,107.5
San Antonio Spurs,2007,109.2,99.2,9.3,5,2,106.5,106.5
Miami Heat,2006,108.7,104.5,4.2,7,9,106.2,106.2
San Antonio Spurs,2005,107.5,98.8,8.7,8,1,106.1,106.1
Detriot Pistons,2004,102,95.4,6.6,18,2,102.9,102.9
San Antonio Spurs,2003,105.6,99.7,6,7,3,103.6,103.6
Los Angeles Lakers,2002,109.4,101.7,7.7,2,7,104.5,104.5
Los Angeles Lakers,2001,108.4,104.8,3.6,2,21,103,103
Los Angeles Lakers,2000,107.3,98.2,9.1,5,1,104.1,104.1
